symbol
RELIANCE.NS
TCS.NS
HDFCBANK.NS
INFY.NS
HINDUNILVR.NS
ICICIBANK.NS
BHARTIARTL.NS
SBIN.NS
LT.NS
ITC.NS
KOTAKBANK.NS
AXISBANK.NS
BAJFINANCE.NS
ASIANPAINT.NS
MARUTI.NS
HCLTECH.NS
TITAN.NS
SUNPHARMA.NS
ULTRACEMCO.NS
NESTLEIND.NS
